-11.530,11.530
11120,0.000
11121,0.019
11122,0.038
11123,0.056
11124,0.075
11125,0.092
11126,0.109
11127,0.124
11128,0.143
11129,0.158
11130,0.174
11131,0.191
11132,0.206
11133,0.222
11134,0.238
11135,0.253
11136,0.268
11137,0.283
11138,0.298
11139,0.315
11140,0.330
11141,0.345
11142,0.359
11143,0.373
11144,0.388
11145,0.404
11146,0.420
11147,0.438
11148,0.457
11149,0.477
11150,0.496
11151,0.516
11152,0.537
11153,0.558
11154,0.579
11155,0.599
11156,0.621
11157,0.642
11158,0.663
11159,0.686
11160,0.706
11161,0.728
11162,0.748
11163,0.768
11164,0.789
11165,0.808
11166,0.829
11167,0.848
11168,0.867
11169,0.887
11170,0.906
11171,0.924
11172,0.943
11173,0.961
11174,0.980
11175,0.998
11176,1.016
11177,1.034
11178,1.052
11179,1.069
11180,1.087
11181,1.101
11182,1.122
11183,1.138
11184,1.154
11185,1.170
11186,1.187
11187,1.204
11188,1.220
11189,1.236
11190,1.252
11191,1.269
11192,1.285
11193,1.301
11194,1.318
11195,1.334
11196,1.350
11197,1.366
11198,1.382
11199,1.399
11200,1.415
11201,1.431
11202,1.448
11203,1.464
11204,1.480
11205,1.497
11206,1.513
11207,1.529
11208,1.546
11209,1.562
11210,1.578
11211,1.595
11212,1.611
11213,1.627
11214,1.644
11215,1.659
11216,1.676
11217,1.692
11218,1.707
11219,1.724
11220,1.739
11221,1.755
11222,1.771
11223,1.787
11224,1.802
11225,1.817
11226,1.833
11227,1.849
11228,1.864
11229,1.880
11230,1.895
11231,1.910
11232,1.925
11233,1.940
11234,1.956
11235,1.969
11236,1.986
11237,2.001
11238,2.014
11239,2.030
11240,2.045
11241,2.060
11242,2.075
11243,2.090
11244,2.104
11245,2.119
11246,2.134
11247,2.149
11248,2.164
11249,2.179
11250,2.195
11251,2.211
11252,2.227
11253,2.244
11254,2.260
11255,2.277
11256,2.294
11257,2.312
11258,2.329
11259,2.347
11260,2.365
11261,2.383
11262,2.401
11263,2.419
11264,2.438
11265,2.456
11266,2.475
11267,2.494
11268,2.513
11269,2.531
11270,2.551
11271,2.569
11272,2.588
11273,2.607
11274,2.626
11275,2.645
11276,2.665
11277,2.684
11278,2.703
11279,2.722
11280,2.742
11281,2.761
11282,2.781
11283,2.799
11284,2.819
11285,2.838
11286,2.858
11287,2.877
11288,2.893
11289,2.913
11290,2.935
11291,2.952
11292,2.971
11293,2.991
11294,3.011
11295,3.031
11296,3.051
11297,3.071
11298,3.090
11299,3.110
11300,3.129
11301,3.149
11302,3.168
11303,3.188
11304,3.208
11305,3.228
11306,3.247
11307,3.267
11308,3.286
11309,3.306
11310,3.325
11311,3.345
11312,3.364
11313,3.384
11314,3.402
11315,3.422
11316,3.441
11317,3.460
11318,3.479
11319,3.497
11320,3.516
11321,3.534
11322,3.553
11323,3.572
11324,3.590
11325,3.610
11326,3.629
11327,3.649
11328,3.668
11329,3.688
11330,3.707
11331,3.727
11332,3.747
11333,3.767
11334,3.788
11335,3.807
11336,3.827
11337,3.846
11338,3.866
11339,3.885
11340,3.905
11341,3.925
11342,3.942
11343,3.964
11344,3.981
11345,4.001
11346,4.021
11347,4.040
11348,4.060
11349,4.079
11350,4.099
11351,4.118
11352,4.138
11353,4.157
11354,4.176
11355,4.196
11356,4.215
11357,4.233
11358,4.253
11359,4.272
11360,4.292
11361,4.310
11362,4.329
11363,4.347
11364,4.366
